Symbol,Trade DATE,NOCP
GE,4/15/2015,27.46
GE,4/16/2015,27.28
GE,4/17/2015,27.25
GE,4/20/2015,27.02
GE,4/21/2015,26.62
GE,4/22/2015,26.91
GE,4/23/2015,26.85
GE,4/24/2015,26.8
GE,4/27/2015,26.88
GE,4/28/2015,27.12
GE,4/29/2015,27.09
GE,4/30/2015,27.08
GE,5/1/2015,27.31
GE,5/4/2015,27.27
GE,5/5/2015,26.92
GE,5/6/2015,26.81
GE,5/7/2015,27.04
GE,5/8/2015,27.36
GE,5/11/2015,26.92
GE,5/12/2015,27.03
GE,5/13/2015,27.21
GE,5/14/2015,27.41
GE,5/15/2015,27.27
GE,5/18/2015,27.31
GE,5/19/2015,27.35
GE,5/20/2015,27.64
GE,5/21/2015,27.72
GE,5/22/2015,27.68
GE,5/26/2015,27.52
GE,5/27/2015,27.52
GE,5/28/2015,27.63
GE,5/29/2015,27.27
GE,6/1/2015,27.28
GE,6/2/2015,27.33
GE,6/3/2015,27.53
GE,6/4/2015,27.26
GE,6/5/2015,27.29
GE,6/8/2015,27.24
GE,6/9/2015,27.33
GE,6/10/2015,27.63
GE,6/11/2015,27.51
GE,6/12/2015,27.39
GE,6/15/2015,27.21
GE,6/16/2015,27.22
GE,6/17/2015,27.27
GE,6/18/2015,27.37
GE,6/19/2015,27.24
GE,6/22/2015,27.42
GE,6/23/2015,27.55
GE,6/24/2015,27.26
GE,6/25/2015,27.04
GE,6/26/2015,27.09
GE,6/29/2015,26.64
GE,6/30/2015,26.57
GE,7/1/2015,26.66
GE,7/2/2015,26.78
GE,7/6/2015,26.31
GE,7/7/2015,26.47
GE,7/8/2015,25.89
GE,7/9/2015,26.02
GE,7/10/2015,26.27
GE,7/13/2015,26.47
GE,7/14/2015,26.66
GE,7/15/2015,26.77
GE,7/16/2015,27.04
GE,7/17/2015,27.24
GE,7/20/2015,27.14
GE,7/21/2015,26.85
GE,7/22/2015,26.63
GE,7/23/2015,26.26
GE,7/24/2015,25.75
GE,7/27/2015,25.95
GE,7/28/2015,26.1
GE,7/29/2015,26.26
GE,7/30/2015,26.12
GE,7/31/2015,26.1
GE,8/3/2015,25.87
GE,8/4/2015,25.9
GE,8/5/2015,26.1
GE,8/6/2015,26.03
GE,8/7/2015,25.79
GE,8/10/2015,26.24
GE,8/11/2015,25.71
GE,8/12/2015,25.86
GE,8/13/2015,25.79
GE,8/14/2015,26.08
GE,8/17/2015,26.21
GE,8/18/2015,26.07
GE,8/19/2015,25.73
GE,8/20/2015,25.19
GE,8/21/2015,24.59
GE,8/24/2015,23.87
GE,8/25/2015,23.27
GE,8/26/2015,24.01
GE,8/27/2015,25.01
GE,8/28/2015,25.16
GE,8/31/2015,24.82
GE,9/1/2015,23.88
GE,9/2/2015,24.57
GE,9/3/2015,24.51
GE,9/4/2015,24
GE,9/8/2015,24.96
GE,9/9/2015,24.55
GE,9/10/2015,24.68
GE,9/11/2015,24.95
GE,9/14/2015,24.77
GE,9/15/2015,25.3
GE,9/16/2015,25.93
GE,9/17/2015,25.35
GE,9/18/2015,24.8
GE,9/21/2015,25.09
GE,9/22/2015,25.11
GE,9/23/2015,25.14
GE,9/24/2015,24.91
GE,9/25/2015,24.92
GE,9/28/2015,24.31
GE,9/29/2015,24.57
GE,9/30/2015,25.22
GE,10/1/2015,25.19
GE,10/2/2015,25.47
GE,10/5/2015,26.82
GE,10/6/2015,27.29
GE,10/7/2015,27.77
GE,10/8/2015,28.03
GE,10/9/2015,28.07
GE,10/12/2015,28.09
GE,10/13/2015,27.87
GE,10/14/2015,27.6
GE,10/15/2015,28.03
GE,10/16/2015,28.98
GE,10/19/2015,28.99
GE,10/20/2015,28.78
GE,10/21/2015,28.85
GE,10/22/2015,29.58
GE,10/23/2015,29.51
GE,10/26/2015,29.55
GE,10/27/2015,29.46
GE,10/28/2015,29.39
GE,10/29/2015,29.34
GE,10/30/2015,28.92
GE,11/2/2015,29.4
GE,11/3/2015,29.59
GE,11/4/2015,29.54
GE,11/5/2015,29.64
GE,11/6/2015,29.92
GE,11/9/2015,29.75
GE,11/10/2015,30.12
GE,11/11/2015,30.67
GE,11/12/2015,30.16
GE,11/13/2015,30.28
GE,11/16/2015,30.36
GE,11/17/2015,30.32
GE,11/18/2015,30.52
GE,11/19/2015,30.27
GE,11/20/2015,30.66
GE,11/23/2015,30.59
GE,11/24/2015,30.66
GE,11/25/2015,30.36
GE,11/27/2015,30.36
GE,11/30/2015,29.94
GE,12/1/2015,30.17
GE,12/2/2015,29.97
GE,12/3/2015,30.03
GE,12/4/2015,30.49
GE,12/7/2015,30.37
GE,12/8/2015,30.19
GE,12/9/2015,30.47
GE,12/10/2015,30.65
GE,12/11/2015,30.26
GE,12/14/2015,30.26
GE,12/15/2015,30.32
GE,12/16/2015,30.98
GE,12/17/2015,30.55
GE,12/18/2015,30.28
GE,12/21/2015,30.4
GE,12/22/2015,30.49
GE,12/23/2015,30.95
GE,12/24/2015,30.83
GE,12/28/2015,30.9
GE,12/29/2015,31.28
GE,12/30/2015,31.05
GE,12/31/2015,31.15
GE,1/4/2016,30.71
GE,1/5/2016,30.74
GE,1/6/2016,30.25
GE,1/7/2016,28.97
GE,1/8/2016,28.45
GE,1/11/2016,28.58
GE,1/12/2016,28.64
GE,1/13/2016,28.24
GE,1/14/2016,29.06
GE,1/15/2016,28.49
GE,1/19/2016,28.49
GE,1/20/2016,28
GE,1/21/2016,28.59
GE,1/22/2016,28.24
GE,1/25/2016,28.04
GE,1/26/2016,28.31
GE,1/27/2016,28
GE,1/28/2016,28.21
GE,1/29/2016,29.1
GE,2/1/2016,28.64
GE,2/2/2016,28.24
GE,2/3/2016,28.67
GE,2/4/2016,29.18
GE,2/5/2016,28.54
GE,2/8/2016,28.17
GE,2/9/2016,28.28
GE,2/10/2016,28.3
GE,2/11/2016,27.45
GE,2/12/2016,28.26
GE,2/16/2016,28.86
GE,2/17/2016,29.34
GE,2/18/2016,29.08
GE,2/19/2016,29.02
GE,2/22/2016,29.41
GE,2/23/2016,29.22
GE,2/24/2016,28.96
GE,2/25/2016,29.23
GE,2/26/2016,29.4
GE,2/29/2016,29.14
GE,3/1/2016,29.88
GE,3/2/2016,30.18
GE,3/3/2016,30.22
GE,3/4/2016,30.46
GE,3/7/2016,30.29
GE,3/8/2016,30.06
GE,3/9/2016,30.05
GE,3/10/2016,29.94
GE,3/11/2016,30.34
GE,3/14/2016,30.27
GE,3/15/2016,30.28
GE,3/16/2016,30.17
GE,3/17/2016,30.96
GE,3/18/2016,30.92
GE,3/21/2016,31.09
GE,3/22/2016,31.06
GE,3/23/2016,31.07
GE,3/24/2016,31.11
GE,3/28/2016,31.49
