Symbol,Trade DATE,NOCP
STX,4/15/2015,56.67
STX,4/16/2015,55.96
STX,4/17/2015,57.43
STX,4/20/2015,59.14
STX,4/21/2015,58.41
STX,4/22/2015,58.23
STX,4/23/2015,58.75
STX,4/24/2015,58.34
STX,4/27/2015,57.92
STX,4/28/2015,59
STX,4/29/2015,58.17
STX,4/30/2015,58.72
STX,5/1/2015,59.63
STX,5/4/2015,59.21
STX,5/5/2015,57.7
STX,5/6/2015,56.29
STX,5/7/2015,56.43
STX,5/8/2015,57.24
STX,5/11/2015,56.76
STX,5/12/2015,56.16
STX,5/13/2015,56.59
STX,5/14/2015,57.43
STX,5/15/2015,56.89
STX,5/18/2015,56.9
STX,5/19/2015,55.15
STX,5/20/2015,54.6
STX,5/21/2015,55.37
STX,5/22/2015,55.79
STX,5/26/2015,54.59
STX,5/27/2015,55.34
STX,5/28/2015,56.37
STX,5/29/2015,55.64
STX,6/1/2015,55.2
STX,6/2/2015,55.29
STX,6/3/2015,55.67
STX,6/4/2015,54.54
STX,6/5/2015,54.43
STX,6/8/2015,53.04
STX,6/9/2015,52.62
STX,6/10/2015,53.59
STX,6/11/2015,54.3
STX,6/12/2015,53.55
STX,6/15/2015,53.37
STX,6/16/2015,53.2
STX,6/17/2015,53.18
STX,6/18/2015,54.14
STX,6/19/2015,53.35
STX,6/22/2015,53.87
STX,6/23/2015,52.29
STX,6/24/2015,51.97
STX,6/25/2015,50.69
STX,6/26/2015,50.06
STX,6/29/2015,49.02
STX,6/30/2015,47.5
STX,7/1/2015,47.57
STX,7/2/2015,48.15
STX,7/6/2015,47.02
STX,7/7/2015,47.82
STX,7/8/2015,46.4
STX,7/9/2015,46.04
STX,7/10/2015,45.95
STX,7/13/2015,46.28
STX,7/14/2015,47.61
STX,7/15/2015,47.3
STX,7/16/2015,47.9
STX,7/17/2015,48.15
STX,7/20/2015,47.73
STX,7/21/2015,48.11
STX,7/22/2015,49.06
STX,7/23/2015,48.01
STX,7/24/2015,47.32
STX,7/27/2015,47.91
STX,7/28/2015,48.87
STX,7/29/2015,49.42
STX,7/30/2015,51.29
STX,7/31/2015,50.6
STX,8/3/2015,51.46
STX,8/4/2015,51.39
STX,8/5/2015,51.86
STX,8/6/2015,51.32
STX,8/7/2015,49.49
STX,8/10/2015,51.14
STX,8/11/2015,51.01
STX,8/12/2015,51.62
STX,8/13/2015,51.37
STX,8/14/2015,52.02
STX,8/17/2015,52.45
STX,8/18/2015,52.05
STX,8/19/2015,49.43
STX,8/20/2015,48.65
STX,8/21/2015,48.72
STX,8/24/2015,47.62
STX,8/25/2015,46.33
STX,8/26/2015,47.89
STX,8/27/2015,50.04
STX,8/28/2015,50.68
STX,8/31/2015,51.4
STX,9/1/2015,50.6
STX,9/2/2015,49.77
STX,9/3/2015,49.49
STX,9/4/2015,48.21
STX,9/8/2015,49.61
STX,9/9/2015,50.1
STX,9/10/2015,49.22
STX,9/11/2015,48.94
STX,9/14/2015,48.33
STX,9/15/2015,48.61
STX,9/16/2015,49.15
STX,9/17/2015,47.76
STX,9/18/2015,45.65
STX,9/21/2015,46.2
STX,9/22/2015,43.79
STX,9/23/2015,43.55
STX,9/24/2015,44.1
STX,9/25/2015,42.89
STX,9/28/2015,42.07
STX,9/29/2015,41.78
STX,9/30/2015,44.8
STX,10/1/2015,42.86
STX,10/2/2015,43.18
STX,10/5/2015,44.84
STX,10/6/2015,46.2
STX,10/7/2015,47.29
STX,10/8/2015,48.33
STX,10/9/2015,49.03
STX,10/12/2015,49.02
STX,10/13/2015,48.62
STX,10/14/2015,47.8
STX,10/15/2015,41.44
STX,10/16/2015,39.56
STX,10/19/2015,38.75
STX,10/20/2015,38.52
STX,10/21/2015,37.13
STX,10/22/2015,39.24
STX,10/23/2015,41.15
STX,10/26/2015,39.55
STX,10/27/2015,39.2
STX,10/28/2015,39.34
STX,10/29/2015,38.06
STX,10/30/2015,38.06
STX,11/2/2015,38.88
STX,11/3/2015,40.37
STX,11/4/2015,38.81
STX,11/5/2015,38.87
STX,11/6/2015,38.81
STX,11/9/2015,38.28
STX,11/10/2015,36.54
STX,11/11/2015,36.12
STX,11/12/2015,34.08
STX,11/13/2015,33.07
STX,11/16/2015,34.3
STX,11/17/2015,33.88
STX,11/18/2015,34.38
STX,11/19/2015,34.28
STX,11/20/2015,34.41
STX,11/23/2015,34.7
STX,11/24/2015,34.27
STX,11/25/2015,34.57
STX,11/27/2015,34.62
STX,11/30/2015,35.94
STX,12/1/2015,36.51
STX,12/2/2015,34.54
STX,12/3/2015,33.77
STX,12/4/2015,34.45
STX,12/7/2015,35.1
STX,12/8/2015,35.43
STX,12/9/2015,35.72
STX,12/10/2015,36.22
STX,12/11/2015,35.98
STX,12/14/2015,33.67
STX,12/15/2015,34.25
STX,12/16/2015,34.78
STX,12/17/2015,33.92
STX,12/18/2015,34.1
STX,12/21/2015,34.7
STX,12/22/2015,35.45
STX,12/23/2015,36.62
STX,12/24/2015,36.65
STX,12/28/2015,36.74
STX,12/29/2015,37.15
STX,12/30/2015,37.18
STX,12/31/2015,36.66
STX,1/4/2016,36.27
STX,1/5/2016,36.33
STX,1/6/2016,34.75
STX,1/7/2016,34.54
STX,1/8/2016,32.54
STX,1/11/2016,31.35
STX,1/12/2016,31.57
STX,1/13/2016,31.07
STX,1/14/2016,32.11
STX,1/15/2016,30.89
STX,1/19/2016,29.83
STX,1/20/2016,29.22
STX,1/21/2016,27.56
STX,1/22/2016,27.93
STX,1/25/2016,26.4
STX,1/26/2016,27.74
STX,1/27/2016,26.97
STX,1/28/2016,26.76
STX,1/29/2016,29.05
STX,2/1/2016,30.41
STX,2/2/2016,28.61
STX,2/3/2016,30.52
STX,2/4/2016,32.19
STX,2/5/2016,31.59
STX,2/8/2016,30.36
STX,2/9/2016,29.41
STX,2/10/2016,30.19
STX,2/11/2016,29.03
STX,2/12/2016,29.88
STX,2/16/2016,31.33
STX,2/17/2016,31.97
STX,2/18/2016,33.11
STX,2/19/2016,31.34
STX,2/22/2016,32.23
STX,2/23/2016,30.74
STX,2/24/2016,31.08
STX,2/25/2016,30.92
STX,2/26/2016,31.69
STX,2/29/2016,31.36
STX,3/1/2016,33.23
STX,3/2/2016,33.93
STX,3/3/2016,34.75
STX,3/4/2016,34.53
STX,3/7/2016,35.48
STX,3/8/2016,34.24
STX,3/9/2016,34.21
STX,3/10/2016,34.95
STX,3/11/2016,36.17
STX,3/14/2016,35.36
STX,3/15/2016,34.62
STX,3/16/2016,34.49
STX,3/17/2016,34.93
STX,3/18/2016,36.57
STX,3/21/2016,36.54
STX,3/22/2016,37.04
STX,3/23/2016,34.8
STX,3/24/2016,33.23
STX,3/28/2016,33.54
STX,3/29/2016,33.8
STX,3/30/2016,34.17
STX,3/31/2016,34.45
STX,4/1/2016,33.69
STX,4/4/2016,33.55
STX,4/5/2016,32.86
STX,4/6/2016,33.72
STX,4/7/2016,33.11
STX,4/8/2016,33.23
STX,4/11/2016,34.98
STX,4/12/2016,35.04
STX,4/13/2016,33.93
STX,4/14/2016,27.11
STX,4/15/2016,25.59
STX,4/18/2016,25.78
STX,4/19/2016,25.33
STX,4/20/2016,25.67
STX,4/21/2016,25.43
STX,4/22/2016,25.32
STX,4/25/2016,26.29
STX,4/26/2016,27
STX,4/27/2016,27.34
STX,4/28/2016,26.9
STX,4/29/2016,21.77
STX,5/2/2016,20.48
STX,5/3/2016,19.44
STX,5/4/2016,20.15
STX,5/5/2016,20.01
STX,5/6/2016,19.07
STX,5/9/2016,18.86
STX,5/10/2016,19.25
STX,5/11/2016,18.72
STX,5/12/2016,18.79
STX,5/13/2016,19.09
STX,5/16/2016,19.16
STX,5/17/2016,19.64
STX,5/18/2016,20.24
STX,5/19/2016,20.52
STX,5/20/2016,20.41
STX,5/23/2016,20.8
STX,5/24/2016,20.88
STX,5/25/2016,21.48
STX,5/26/2016,21.55
STX,5/27/2016,21.66
STX,5/31/2016,22.56
STX,6/1/2016,23.01
STX,6/2/2016,23.75
STX,6/3/2016,23.64
STX,6/6/2016,23.89
STX,6/7/2016,24.65
STX,6/8/2016,24.25
STX,6/9/2016,24.14
STX,6/10/2016,23.14
STX,6/13/2016,22.68
STX,6/14/2016,22.76
STX,6/15/2016,22.72
STX,6/16/2016,22.69
STX,6/17/2016,23.22
STX,6/20/2016,23.43
STX,6/21/2016,23.86
STX,6/22/2016,23.87
STX,6/23/2016,24.48
STX,6/24/2016,23.16
STX,6/27/2016,20.87
STX,6/28/2016,22.53
STX,6/29/2016,23.95
STX,6/30/2016,24.36
STX,7/1/2016,24.03
STX,7/5/2016,23.16
STX,7/6/2016,23.52
STX,7/7/2016,23.73
STX,7/8/2016,24.01
STX,7/11/2016,24.09
STX,7/12/2016,29.35
STX,7/13/2016,29.83
STX,7/14/2016,29.19
STX,7/15/2016,28.9
STX,7/18/2016,30.15
STX,7/19/2016,29.99
STX,7/20/2016,30.5
STX,7/21/2016,31.22
STX,7/22/2016,31.58
STX,7/25/2016,31.44
STX,7/26/2016,32.45
STX,7/27/2016,32.05
STX,7/28/2016,32.6
STX,7/29/2016,32.03
STX,8/1/2016,32.43
STX,8/2/2016,30.65
STX,8/3/2016,30.73
STX,8/4/2016,31.26
STX,8/5/2016,32.13
STX,8/8/2016,32.61
STX,8/9/2016,32.49
STX,8/10/2016,31.38
STX,8/11/2016,31.75
STX,8/12/2016,31.55
STX,8/15/2016,32
STX,8/16/2016,32.46
STX,8/17/2016,31.78
STX,8/18/2016,32.07
STX,8/19/2016,32.33
STX,8/22/2016,31.87
STX,8/23/2016,32.12
STX,8/24/2016,31.58
STX,8/25/2016,32.05
STX,8/26/2016,33.33
STX,8/29/2016,33.73
STX,8/30/2016,33.92
STX,8/31/2016,33.74
STX,9/1/2016,33.71
STX,9/2/2016,33.92
STX,9/6/2016,34.47
STX,9/7/2016,36.51
STX,9/8/2016,36.31
STX,9/9/2016,36.09
STX,9/12/2016,36.55
STX,9/13/2016,36.14
STX,9/14/2016,36.07
STX,9/15/2016,36.45
STX,9/16/2016,36.4
STX,9/19/2016,35.95
STX,9/20/2016,35.53
STX,9/21/2016,36.69
STX,9/22/2016,36.4
STX,9/23/2016,36.46
STX,9/26/2016,37.2
STX,9/27/2016,38.42
STX,9/28/2016,38.21
STX,9/29/2016,37.79
STX,9/30/2016,38.55
STX,10/3/2016,38.41
STX,10/4/2016,38.24
STX,10/5/2016,38.54
STX,10/6/2016,37.81
STX,10/7/2016,37.89
STX,10/10/2016,37.97
STX,10/11/2016,35.1
STX,10/12/2016,35.23
STX,10/13/2016,35.18
STX,10/14/2016,35.16
STX,10/17/2016,35.01
STX,10/18/2016,35.34
STX,10/19/2016,34.32
STX,10/20/2016,34.98
STX,10/21/2016,34.5
STX,10/24/2016,34.52
STX,10/25/2016,34.27
STX,10/26/2016,34.84
STX,10/27/2016,34.24
STX,10/28/2016,34.15
STX,10/31/2016,34.31
STX,11/1/2016,33.71
STX,11/2/2016,32.65
STX,11/3/2016,33.08
STX,11/4/2016,33
STX,11/7/2016,34.65
STX,11/8/2016,34.49
STX,11/9/2016,34.76
STX,11/10/2016,36.17
STX,11/11/2016,37.25
STX,11/14/2016,38
STX,11/15/2016,38.51
STX,11/16/2016,38.26
STX,11/17/2016,39.23
STX,11/18/2016,39.29
