Symbol,Trade DATE,NOCP
VNO,4/15/2015,86.87
VNO,4/16/2015,87
VNO,4/17/2015,86.46
VNO,4/20/2015,86.3
VNO,4/21/2015,86.47
VNO,4/22/2015,86.57
VNO,4/23/2015,86.42
VNO,4/24/2015,86.84
VNO,4/27/2015,86.99
VNO,4/28/2015,86.84
VNO,4/29/2015,85.12
VNO,4/30/2015,83.64
VNO,5/1/2015,84.45
VNO,5/4/2015,84.52
VNO,5/5/2015,81.41
VNO,5/6/2015,80.93
VNO,5/7/2015,82.01
VNO,5/8/2015,83.15
VNO,5/11/2015,81.52
VNO,5/12/2015,81.58
VNO,5/13/2015,80.78
VNO,5/14/2015,82.33
VNO,5/15/2015,83.01
VNO,5/18/2015,82.29
VNO,5/19/2015,82.49
VNO,5/20/2015,82.89
VNO,5/21/2015,82.63
VNO,5/22/2015,82.64
VNO,5/26/2015,81.72
VNO,5/27/2015,82.37
VNO,5/28/2015,81.94
VNO,5/29/2015,80.73
VNO,6/1/2015,81.66
VNO,6/2/2015,80.99
VNO,6/3/2015,80.31
VNO,6/4/2015,80.41
VNO,6/5/2015,79.35
VNO,6/8/2015,79.03
VNO,6/9/2015,78.63
VNO,6/10/2015,79.4
VNO,6/11/2015,79.49
VNO,6/12/2015,79.22
VNO,6/15/2015,78.98
VNO,6/16/2015,79.57
VNO,6/17/2015,80.25
VNO,6/18/2015,81.86
VNO,6/19/2015,80.9
VNO,6/22/2015,80.42
VNO,6/23/2015,79.81
VNO,6/24/2015,78.58
VNO,6/25/2015,77.63
VNO,6/26/2015,78.14
VNO,6/29/2015,76.69
VNO,6/30/2015,76.72
VNO,7/1/2015,77.92
VNO,7/2/2015,77.8
VNO,7/6/2015,77.99
VNO,7/7/2015,79.18
VNO,7/8/2015,78.6
VNO,7/9/2015,78.29
VNO,7/10/2015,78.5
VNO,7/13/2015,78.26
VNO,7/14/2015,78.42
VNO,7/15/2015,78.59
VNO,7/16/2015,79.38
VNO,7/17/2015,78.64
VNO,7/20/2015,78.22
VNO,7/21/2015,77.96
VNO,7/22/2015,78.34
VNO,7/23/2015,77.49
VNO,7/24/2015,77.61
VNO,7/27/2015,77.83
VNO,7/28/2015,77.8
VNO,7/29/2015,78.43
VNO,7/30/2015,77.93
VNO,7/31/2015,78.84
VNO,8/3/2015,79.1
VNO,8/4/2015,78.14
VNO,8/5/2015,77.29
VNO,8/6/2015,76.91
VNO,8/7/2015,76.88
VNO,8/10/2015,77.45
VNO,8/11/2015,78.03
VNO,8/12/2015,78.31
VNO,8/13/2015,78.43
VNO,8/14/2015,78.33
VNO,8/17/2015,78.34
VNO,8/18/2015,78.13
VNO,8/19/2015,77.12
VNO,8/20/2015,76.31
VNO,8/21/2015,74.48
VNO,8/24/2015,70.66
VNO,8/25/2015,68.53
VNO,8/26/2015,71.21
VNO,8/27/2015,72.96
VNO,8/28/2015,72.35
VNO,8/31/2015,70.46
VNO,9/1/2015,69.48
VNO,9/2/2015,70.5
VNO,9/3/2015,70.54
VNO,9/4/2015,68.63
VNO,9/8/2015,69.99
VNO,9/9/2015,69.53
VNO,9/10/2015,70.2
VNO,9/11/2015,71.82
VNO,9/14/2015,71.52
VNO,9/15/2015,72.57
VNO,9/16/2015,73.53
VNO,9/17/2015,74.37
VNO,9/18/2015,74.16
VNO,9/21/2015,74.62
VNO,9/22/2015,73.57
VNO,9/23/2015,73.85
VNO,9/24/2015,73.21
VNO,9/25/2015,73.63
VNO,9/28/2015,72.46
VNO,9/29/2015,73.24
VNO,9/30/2015,73.07
VNO,10/1/2015,73.19
VNO,10/2/2015,74.11
VNO,10/5/2015,75.08
VNO,10/6/2015,75.06
VNO,10/7/2015,76.21
VNO,10/8/2015,77.49
VNO,10/9/2015,76.96
VNO,10/12/2015,77.78
VNO,10/13/2015,77.33
VNO,10/14/2015,77.11
VNO,10/15/2015,78.9
VNO,10/16/2015,79.42
VNO,10/19/2015,81
VNO,10/20/2015,80.43
VNO,10/21/2015,79.86
VNO,10/22/2015,80.98
VNO,10/23/2015,80.44
VNO,10/26/2015,80.62
VNO,10/27/2015,80.44
VNO,10/28/2015,81.4
VNO,10/29/2015,81.38
VNO,10/30/2015,81.26
VNO,11/2/2015,83.57
VNO,11/3/2015,81.46
VNO,11/4/2015,80.73
VNO,11/5/2015,80.64
VNO,11/6/2015,77.97
VNO,11/9/2015,76.77
VNO,11/10/2015,77.34
VNO,11/11/2015,77.57
VNO,11/12/2015,76.57
VNO,11/13/2015,75.63
VNO,11/16/2015,76.51
VNO,11/17/2015,76.1
VNO,11/18/2015,77.29
VNO,11/19/2015,77.74
VNO,11/20/2015,78.54
VNO,11/23/2015,78.6
VNO,11/24/2015,78.67
VNO,11/25/2015,78.28
VNO,11/27/2015,78.84
VNO,11/30/2015,78.2
VNO,12/1/2015,79.86
VNO,12/2/2015,78.44
VNO,12/3/2015,77.89
VNO,12/4/2015,79.03
VNO,12/7/2015,79.31
VNO,12/8/2015,79.2
VNO,12/9/2015,78.82
VNO,12/10/2015,78.31
VNO,12/11/2015,78.07
VNO,12/14/2015,78.92
VNO,12/15/2015,79.47
VNO,12/16/2015,80.94
VNO,12/17/2015,80.35
VNO,12/18/2015,78.79
VNO,12/21/2015,78.75
VNO,12/22/2015,79.22
VNO,12/23/2015,80.74
VNO,12/24/2015,80.66
VNO,12/28/2015,81.2
